Intent,Expression
bot_how_are_you,how have you been
bot_how_are_you,how you doing
bot_how_are_you,i am alright
bot_how_are_you,i am doing fine
bot_how_are_you,i am doing great
bot_how_are_you,i am doing well
bot_how_are_you,i am fine
bot_how_are_you,i am good
bot_how_are_you,i am having fun
bot_how_are_you,is everything fine
bot_how_are_you,is something hurting you
bot_how_are_you,is something irritating you
bot_how_are_you,is something killing you from inside
bot_how_are_you,is something painful in your life
bot_how_are_you,is something pricking you
bot_how_are_you,is something wrong with you
bot_how_are_you,is there any issue
bot_how_are_you,is your mood alright
bot_how_are_you,king khan is saying that he is fine
bot_how_are_you,tell me about your health
bot_how_are_you,very good
bot_how_are_you,what is so painful in your life
bot_how_are_you,what is your current mood
bot_how_are_you,what is your state of mind
bot_how_are_you,whats going on
bot_how_are_you,whats going on with you
bot_how_are_you,whats new with you
bot_how_are_you,babe how are you
bot_how_are_you,baby how are you
bot_how_are_you,hello how is lyf
bot_how_are_you,hey how are things with you
bot_how_are_you,hey hows it going
bot_how_are_you,hey hows lyf
bot_how_are_you,hey you how are you
bot_how_are_you,hi how is life
bot_how_are_you,hi howz life
bot_how_are_you,how are things
bot_how_are_you,how are things baby
bot_how_are_you,how are things my lady
bot_how_are_you,how are things with you
bot_how_are_you,how are you girl
bot_how_are_you,how are you lady
bot_how_are_you,how are you sir
bot_how_are_you,how do you do
bot_how_are_you,how is everything
bot_how_are_you,how is it going
bot_how_are_you,how is it going today
bot_how_are_you,how is lyf
bot_how_are_you,how ya doin
bot_how_are_you,how're you
bot_how_are_you,hows everything going
bot_how_are_you,hows it going today
bot_how_are_you,hows life
bot_how_are_you,hows lyf
bot_how_are_you,howz life
bot_how_are_you,howz lyf
bot_how_are_you,howz you doin
bot_how_are_you,i am fine whats going on
bot_info_age,am i older than you
bot_info_age,are you younger than me
bot_info_age,can you give me your age
bot_info_age,share your birth date
bot_info_age,can you tell me how old are you
bot_info_age,give me your age
bot_info_age,hey how old are you
bot_info_age,hey whats your age
bot_info_age,how old did you turn
bot_info_age,in which year you were born
bot_info_age,may i know your age
bot_info_age,tell us your age
bot_info_age,what is your age
bot_info_age,what is your birthdate
bot_info_age,whats your age
bot_info_age,you sound so old
bot_info_age,you sound so young
bot_info_age,your age
bot_thanks,badsha is says thank you
bot_thanks,bollywood king says thank you
bot_thanks,how thoughtful of you
bot_thanks,i am grateful for your assistance
bot_thanks,i appreciate your feedback
bot_thanks,i couldnt have done without you
bot_thanks,i dont know what to say
bot_thanks,i owe you one
bot_thanks,i really appreciate everything you have done
bot_thanks,i really grateful for your help
bot_thanks,i really want to thank you for help
bot_thanks,it means a lot
bot_thanks,king khan is saying thank you
bot_thanks,oh you shouldn have
bot_thanks,srk says that he is thankful to you
bot_thanks,thank you
bot_thanks,thank you for contacting me
bot_thanks,thank you for guidance
bot_thanks,thank you for prompt reply
bot_thanks,thank you for removing sometime
bot_thanks,thank you for stopping by
bot_thanks,thank you for your favour
bot_thanks,thank you for your time
bot_thanks,thanks
bot_thanks,thanks a million
bot_thanks,thanks for being a great help
bot_thanks,thanks for explaining this to me
bot_thanks,thanks for having my back
bot_thanks,thanks so much
bot_thanks,that very kind of you
bot_thanks,this means a lot to me
bot_thanks,you are awesome
bot_thanks,you made my day
bot_thanks,i couldn't have done without you
bot_thanks,it was great talk to you
bot_thanks,nice dress
bot_thanks,ok thanks
bot_thanks,thank you darling
bot_thanks,thank you so very much friend
bot_thanks,thank you very much
bot_thanks,thanks a lot hellojio
bot_thanks,you are great
can_you_sing_a_song_for_me,can you sing a romantic song for me
can_you_sing_a_song_for_me,can you please sing a song from dilwale dulhaniya le jayenge
can_you_sing_a_song_for_me,can you sing a ddlj song
can_you_sing_a_song_for_me,can you sing a romantic song
can_you_sing_a_song_for_me,can you sing a sad song
can_you_sing_a_song_for_me,can you sing a song
can_you_sing_a_song_for_me,can you sing a song from movie fan
can_you_sing_a_song_for_me,can you sing a song from your upcoming move
can_you_sing_a_song_for_me,can you sing an english pop song
can_you_sing_a_song_for_me,can you sing channa mereya
can_you_sing_a_song_for_me,can you sing from the movie raees
can_you_sing_a_song_for_me,can you sing your favourite song
can_you_sing_a_song_for_me,please sing a ddlj song
can_you_sing_a_song_for_me,please sing a romantic song
can_you_sing_a_song_for_me,please sing a sad song
can_you_sing_a_song_for_me,please sing a song
can_you_sing_a_song_for_me,please sing a song from movie fan
can_you_sing_a_song_for_me,please sing a song from your upcoming move
can_you_sing_a_song_for_me,please sing a song from zero
can_you_sing_a_song_for_me,please sing channa mereya
can_you_sing_a_song_for_me,please sing your favourite song
can_you_sing_a_song_for_me,sing a ddlj song
can_you_sing_a_song_for_me,sing a rock song
can_you_sing_a_song_for_me,sing a romantic song
can_you_sing_a_song_for_me,sing a sad song
can_you_sing_a_song_for_me,sing a song
can_you_sing_a_song_for_me,sing a song from movie fan
can_you_sing_a_song_for_me,sing a song from your upcoming move
can_you_sing_a_song_for_me,sing channa mereya
can_you_sing_a_song_for_me,sing justin bieber song
can_you_sing_a_song_for_me,sing your favourite song
can_you_sing_a_song_for_me,would you be able to sing any random song
can_you_sing_a_song_for_me,can i request you to sing a song for me
can_you_sing_a_song_for_me,can you sing a classical song for me
can_you_sing_a_song_for_me,can you sing a english song for me
can_you_sing_a_song_for_me,can you sing a jazz song for me
can_you_sing_a_song_for_me,can you sing a jingle song for me
can_you_sing_a_song_for_me,can you sing a lullaby for me
can_you_sing_a_song_for_me,can you sing a sentimental song for me
can_you_sing_a_song_for_me,can you sing a song for me
can_you_sing_a_song_for_me,can you sing a western song for me
can_you_sing_a_song_for_me,i insist you to sing a song for me
can_you_sing_a_song_for_me,would you like to sing a song for me
can_you_sing_a_song_for_me,song for all of us
can_you_sing_a_song_for_me,singer song for all of us
customercare_contact,do you have customer care no that i can contact
customercare_contact,what is your customer care no
customercare_contact,please give me your customer care no
customercare_contact,give me your customer care no
customercare_contact,tell me your customer care no
customercare_contact,is there any customer care no i can contact to
customercare_contact,can i contact to any customer care no
customercare_contact,how can i contact to customer care
customercare_contact,is there any way to contact the customer care
customercare_contact,give me information about contacting customer care
customercare_contact,what is the no to contact the customer care
customercare_contact,give me the no to contact the customer care
customercare_contact,tell me the no to contact the customer care
customercare_contact,help me contact the customer care
customercare_contact,please give me the no of customer care
customercare_contact,please tell me a way to contact customer care
customercare_contact,what is the no of customer care
customercare_contact,help me with customer care of
customercare_contact,how can i contact customer care
customercare_contact,how can i reach customer care
customercare_contact,how do i get in touch with customer care
customercare_contact,how do i reach customer care of rupeeboss
customercare_contact,how do i reach to customer care
customercare_contact,how to connect with customer care
customercare_contact,how to contact customer care
customercare_contact,how to reach customer care
customercare_contact,how to reach you
customercare_contact,i want to talk to someone from your side
customercare_contact,tell me about customer care
customercare_contact,what is customer care
customercare_contact,what is the call center number of
customercare_contact,care number
customercare_contact,contact number of customer care
customercare_contact,contact of customer care
customercare_contact,customer care
customercare_contact,customer service
customercare_contact,give me number of customer care
customercare_contact,help line number for
customercare_contact,help me with care
customercare_contact,helpline number for
customercare_contact,helpline number of
customercare_contact,how can i call care
customercare_contact,i dont have any problem i just have a query i want to talk with care executive
customercare_contact,i need support
customercare_contact,inform about helpline
customercare_contact,assistant
customercare_contact,call support
customercare_contact,customare care
customercare_contact,customer
customercare_contact,customer care contact number
customercare_contact,customer care phone number
customercare_contact,customer id
customercare_contact,customer support email
customercare_contact,customer support number
customercare_contact,helpline number
customercare_contact,care call
customercare_contact,care email
customercare_contact,care help
customercare_contact,care mobile number
customercare_contact,need helpline number of
customercare_contact,number of customer care
customercare_contact,please tell me care number
customercare_contact,tamilnadu customer number
customercare_contact,tell me about care
customercare_contact,toll free number of
customercare_contact,ways to contact customer care
customercare_contact,what is the contact number of customer care
customercare_contact,what is the number for care
customercare_contact,what is the number of company
customercare_contact,contact numbers
customercare_contact,hotel what are the numbers for contact centre
customercare_contact,how can i reach you
customercare_contact,what are your contact details
customercare_contact,can i talk to your executive
customercare_contact,can i talk with your agent
customercare_contact,can you contact me with the your
customercare_contact,contact your customer care for issues
customercare_contact,how can i contact your agent
customercare_contact,how can i reach your agent
customercare_contact,how can i talk with your your representative
customercare_contact,how do i reach your agent
customercare_contact,how do i reach your customer care
customercare_contact,how do i reach your customer representative
customercare_contact,how to connect your agent
customercare_contact,how to connect your executive
customercare_contact,how to contact your agent
customercare_contact,how to contact s customer care
customercare_contact,how to contact the customer service executive
customercare_contact,how to contact with helpline
customercare_contact,customercare
customercare_contact,i want to call contact centre
customercare_contact,i want to speak to your executive
customercare_contact,i want to talk your agent
customercare_contact,i want to talk to customer support
customercare_contact,i want to talk to executive
customercare_contact,i want to talk to your executive
customercare_contact,i want to talk to your of
customercare_contact,i want to talk to your representative
customercare_contact,i want to talk with your
customercare_contact,i want to talk your cutomer care
customercare_contact,if i face any issue regarding services whom to contact
customercare_contact,if i have a query related to whom to contact
customercare_contact,inform help line
customercare_contact,it is emergency please connect your
customercare_contact,please connect advisor with me
customercare_contact,talk to a your representative
customercare_contact,talk to custmer care
customercare_contact,talk to your care person
customercare_contact,talk to your service
customercare_contact,to whom i can submit my complaint
customercare_contact,want to speak to your customer person
customercare_contact,whom to contact if i face any issues with my sim
customercare_contact,wow your se baat karwao
customercare_contact,can i talk to loangenie executive
customercare_contact,can i talk with loangenie agent
customercare_contact,can you contact me with the loangenie
customercare_contact,contact loangenie customer care for issues
customercare_contact,how can i contact loangenie agent
customercare_contact,how can i reach loangenie agent
customercare_contact,how can i talk with loangenie loangenie representative
customercare_contact,how do i reach loangenie agent
customercare_contact,how do i reach loangenie customer care
customercare_contact,how do i reach loangenie customer representative
customercare_contact,how to connect loangenie agent
customercare_contact,how to connect loangenie executive
customercare_contact,how to contact loangenie agent
customercare_contact,i want to speak to loangenie executive
customercare_contact,i want to talk loangenie agent
customercare_contact,i want to talk to loangenie executive
customercare_contact,i want to talk to loangenie of
customercare_contact,i want to talk to loangenie representative
customercare_contact,i want to talk with loangenie
customercare_contact,i want to talk loangenie cutomer care
customercare_contact,it is emergency please connect loangenie
customercare_contact,talk to a loangenie representative
customercare_contact,talk to loangenie care person
customercare_contact,talk to loangenie service
customercare_contact,want to speak to loangenie customer person
customercare_contact,wow loangenie se baat karwao
customercare_contact,can i talk to rupeeboss executive
customercare_contact,can i talk with rupeeboss agent
customercare_contact,can you contact me with the rupeeboss
customercare_contact,contact rupeeboss customer care for issues
customercare_contact,how can i contact rupeeboss agent
customercare_contact,how can i reach rupeeboss agent
customercare_contact,how can i talk with rupeeboss rupeeboss representative
customercare_contact,how do i reach rupeeboss agent
customercare_contact,how do i reach rupeeboss customer care
customercare_contact,how do i reach rupeeboss customer representative
customercare_contact,how to connect rupeeboss agent
customercare_contact,how to connect rupeeboss executive
customercare_contact,how to contact rupeeboss agent
customercare_contact,i want to speak to rupeeboss executive
customercare_contact,i want to talk rupeeboss agent
customercare_contact,i want to talk to rupeeboss executive
customercare_contact,i want to talk to rupeeboss of
customercare_contact,i want to talk to rupeeboss representative
customercare_contact,i want to talk with rupeeboss
customercare_contact,i want to talk rupeeboss cutomer care
customercare_contact,it is emergency please connect rupeeboss
customercare_contact,talk to a rupeeboss representative
customercare_contact,talk to rupeeboss care person
customercare_contact,talk to rupeeboss service
customercare_contact,want to speak to rupeeboss customer person
customercare_contact,let me talk to rupeeboss care
customercare_contact,how to reach your customer care
customercare_contact,customer service number
customercare_contact,contact with loangenie
customercare_contact,speak to rupeeboss care
customercare_contact,service number
customercare_contact,can you connect me with loangenie
customercare_contact,tal to rupeeboss service center
customercare_contact,what is your email address
customercare_contact,tell me your mail address
customercare_contact,tell me about your email address
customercare_contact,kindly provide me with your mail adress
customercare_contact,give me your contact details
customercare_contact,provide me with your mail details
customercare_contact,what is the customer care number
customercare_contact,how can i contact the sales team
customercare_contact,where can i connect rupeeboss
customercare_contact,what are the ways to connect to rupeeboss
customercare_contact,how can i contact your customer care service
customercare_contact,give me the rupeeboss contact number
customercare_contact,how can i reach out to rupeeboss
customercare_contact,customer care number
customercare_contact,what is your call centre numer
customercare_contact,what is your helpline number
customercare_contact,how can i talk to your executives
customercare_contact,how can your executive help me
customercare_contact,help me with your contact details
customercare_contact,please provide me your contact details
customercare_contact,how to connect to your agents
customercare_contact,how to call to your agents
customercare_contact,i want to talk to rupeeboss agents
customercare_contact,i want to talk to your executuves
customercare_contact,i wa to talk to your representatives
customercare_contact,how to connect with rupeeboss
customercare_contact,how do i reach to rupeeboss services
customercare_contact,how to talk to your agents
customercare_contact,how can i contact for loan queries
customercare_contact,how to reach loangenie customer care
customercare_contact,i need the loangenie assistance urgently
customercare_contact,how to reach rupeeboss customer care
customercare_contact,reach customer care
customercare_contact,loangenie customer care
customercare_contact,rupeeboss customer care
customercare_contact,how can i contact with your customer care
customercare_contact,i need the your assistance urgently
customercare_contact,i need the rupeeboss assistance urgently
customercare_contact,i want to talk your customer care
customercare_contact,i want to talk loangenie customer care
customercare_contact,i want to talk rupeeboss customer care
customercare_contact,what is the customer care no of rupeeboss
customercare_contact,can i have the customer care no that i can contact
customercare_contact,is there any customer care no that i contact
customercare_contact,provide me your customer care no that i can contact
eid_mubaraq,eid greetings from me to your family
eid_mubaraq,eid mubarak
eid_mubaraq,eid mubarak sir
eid_mubaraq,happy eid
eid_mubaraq,happy eid mubarak
eid_mubaraq,happy eid my friend
eid_mubaraq,happy eiddy
eid_mubaraq,hope you have a happy eid
eid_mubaraq,hope you have a peaceful eid
eid_mubaraq,hope you have a pleasant eid
eid_mubaraq,hope you have a prosperous eid
eid_mubaraq,hope you have a radiant eid
eid_mubaraq,wishing you a prosperous eid
eid_mubaraq,wishing you a safe and happy eid
exit,it was a pleasure tal to you
exit,it was nice tal to you
exit,it was nice to talk to you
exit,it was a pleasure to talk to you
exit,bye bye
exit,bye i will see you tomorrow
exit,close the assistant
exit,close the system
exit,close the voice assistant
exit,close yourself
exit,goodbye
exit,ok bye
exit,ok jio bye
exit,ok take care bye
exit,please exit
exit,talk to you later bye
exit,tata tata
exit,it was nice tal to you devika
exit,bye
exit,c ya
exit,have a nice day
exit,time for me to go
exit,adios
exit,goodbye bhai
exit,goodbye sake
exit,sayonara
fav_actor,who is your favourite actor
fav_actor,what is the name of your favourite actor
fav_actor,what is name of your favourite actor
fav_actor,can you please tell me your favourite actor
fav_actor,please tell me your favourite actor
fav_actor,tell me the name of your favourite actor
fav_actor,what movie you like the actor
fav_actor,name of the movie you like the actor
fav_actor,which actor is your favourite
fav_actor,please tell me the movie which is your actor
fav_actor,can you please tell me name of your favourite actor
fav_actor,tell me your favourite actor
fav_actor,who is your favorite actor
fav_actor,what is the name of your favorite actor
fav_actor,what is name of your favorite actor
fav_actor,can you please tell me your favorite actor
fav_actor,please tell me your favorite actor
fav_actor,tell me the name of your favorite actor
fav_actor,which actor is your favorite
fav_actor,can you please tell me name of your favorite actor
fav_actor,who is your favourite actor or actress
fav_actor,nimika who is your favourite actor or actress
fav_actor,tell me your favourite actor or actress
fav_actress,who is your favourite actress
fav_actress,what is the name of your favourite actress
fav_actress,what is name of your favourite actress
fav_actress,can you please tell me your favourite actress
fav_actress,please tell me your favourite actress
fav_actress,tell me the name of your favourite actress
fav_actress,what movie you like the actress
fav_actress,name of the movie you like the actress
fav_actress,which actress is your favourite
fav_actress,please tell me the movie which is your actress
fav_actress,can you please tell me name of your favourite actress
fav_actress,tell me your favourite actress
fav_actress,who is your favorite actress
fav_actress,what is the name of your favorite actress
fav_actress,what is name of your favorite actress
fav_actress,can you please tell me your favorite actress
fav_actress,please tell me your favorite actress
fav_actress,tell me the name of your favorite actress
fav_actress,which actress is your favorite
fav_actress,can you please tell me name of your favorite actress
fav_food,what are the foods you like to have
fav_food,what are the foods you like to eat
fav_food,what would you like to eat
fav_food,do you like to eat chinese
fav_food,do you like to eat chinese food
fav_food,do you like to eat chinese cuisine
fav_food,do you like to eat italian
fav_food,do you like to eat italian food
fav_food,do you like to eat italian cuisine
fav_food,do you like to eat indian
fav_food,do you like to eat indian food
fav_food,do you like to eat indian cuisine
fav_food,do you like to eat continental
fav_food,do you like to eat continental food
fav_food,do you like to eat continental cuisine
fav_food,what food types you like to eat
fav_food,tell me what you like to eat
fav_food,do you like chinese
fav_food,do you like chinese food
fav_food,do you like chinese cuisine
fav_food,is chinese your favourite food
fav_food,do you like italian
fav_food,do you like italian food
fav_food,do you like italian cuisine
fav_food,is italian your favourite food
fav_food,do you like indian
fav_food,do you like indian food
fav_food,do you like indian cuisine
fav_food,is indian your favourite food
fav_food,do you like continental
fav_food,do you like continental food
fav_food,do you like continental cuisine
fav_food,is continental your favourite food
fav_food,which is your favorite food
fav_food,which is the name of your favorite food
fav_food,can you please tell me your favorite food
fav_food,tell me the name of your favorite food
fav_food,what food you like the most
fav_food,name of the food you like the most
fav_food,which food is your favorite
fav_food,please tell me the food which is your favorite
fav_food,can you please tell me name of your favorite food
fav_food,what is name of your favorite food
fav_food,please tell me your favorite food
fav_food,which is your favourite food
fav_food,which is the name of your favourite food
fav_food,can you please tell me your favourite food
fav_food,tell me the name of your favourite food
fav_food,which food is your favourite
fav_food,please tell me the food which is your favourite
fav_food,can you please tell me name of your favourite food
fav_food,what is name of your favourite food
fav_food,please tell me your favourite food
fav_food,which dish is your favorite
fav_food,please tell me the dish which is your favorite
fav_food,can you please tell me name of your favorite dish
fav_food,what is name of your favorite dish
fav_food,please tell me your favorite dish
fav_food,which is your favourite dish
fav_food,which is the name of your favourite dish
fav_food,can you please tell me your favourite dish
fav_food,tell me the name of your favourite dish
fav_food,which dish is your favourite
fav_food,please tell me the dish which is your favourite
fav_food,can you please tell me name of your favourite dish
fav_food,what is name of your favourite dish
fav_food,please tell me your favourite dish
fav_food,what is your favourite dish
fav_food,your favourite dish
fav_food,mujhe bata what do you like to eat
fav_food,bol kya a pasand hai
fav_food,what is your favourite food
fav_food,what do you like in food
fav_food,do you like maharashtrian cuisine
fav_food,do you like north indian cuisine
fav_food,do you like south indian cuisine
fav_food,do you like vegetarian food
fav_food,do you love non vegetarian food
fav_food,do you love vegetarian food
fav_food,tell me something about favorite cuisine
fav_food,what are some of your favourite dishes from india
fav_food,what are your favourite recipes
fav_food,what do you like to eat
fav_food,what is your favourite home cooked cuisine
fav_food,what is your favourite meal
fav_food,which countrys cuisine you like most
fav_food,which cuisine you love most
fav_food,which food you enjoy most
fav_food,which is your favourite cuisine
fav_food,which is your favourite hotel
fav_food,which is your favourite restaurant
fav_food,do you like non veg
fav_food,do you have a favourite cuisine
fav_food,i would like to know about your favourite cuisine
fav_food,we would like to hear which is your favourite food
fav_food,which cuisine do you prefer the most
fav_food,which cuisine is your favourite
fav_food,which food cuisine do you like
fav_food,which food do you like
fav_food,which food do you like the most
fav_food,which is the cuisine you like the most
fav_food,would you like to tell us your favourite cuisine
fav_food,would you tell us your favourite cuisine
fav_food,would you tell us your favourite food
fav_food,we would like to hear your favourite cuisines
fav_food,we would like to know which cuisine is your favourite
fav_food,we would like to know your favourite cuisine
fav_food,what cuisine do you like
fav_food,would you be happy to tell us your favourite cuisine
fav_food,would you like to tell which cuisine you like the most
fav_song,which is your favourite song
fav_song,what is the name of your favourite song
fav_song,can you please tell me your favourite song
fav_song,please tell me your favourite song
fav_song,tell me the name of your favourite song
fav_song,what song you like the most
fav_song,name of the song you like the most
fav_song,which song is your favourite
fav_song,please tell me the song which is your favourite
fav_song,can you please tell me name of your favourite song
fav_song,if you could hear one song for the rest of your life what would it be
fav_song,which song would you dedicate to your wife
